year,month,id,group_name
2011,3,4140,Physics
2011,4,3820,Physics
2011,5,4209,Physics
2011,6,4284,Physics
2011,7,4170,Physics
2011,8,4104,Physics
2011,9,4628,Physics
2011,10,4618,Physics
2011,11,4926,Physics
2011,12,4439,Physics
2012,1,4175,Physics
2012,2,4192,Physics
2012,3,4320,Physics
2012,4,4207,Physics
2012,5,4536,Physics
2012,6,4489,Physics
2012,7,4584,Physics
2012,8,4232,Physics
2012,9,4348,Physics
2012,10,5225,Physics
2012,11,4658,Physics
2012,12,4408,Physics
2013,1,4619,Physics
2013,2,4327,Physics
2013,3,4618,Physics
2013,4,4539,Physics
2013,5,4639,Physics
2013,6,4386,Physics
2013,7,5081,Physics
2013,8,4322,Physics
2013,9,4748,Physics
2013,10,5277,Physics
2013,11,4709,Physics
2013,12,4579,Physics
2014,1,4574,Physics
2014,2,4292,Physics
2014,3,4805,Physics
2014,4,4423,Physics
2014,5,4609,Physics
2014,6,4610,Physics
2014,7,5133,Physics
2014,8,4380,Physics
2014,9,5029,Physics
2014,10,5199,Physics
2014,11,4776,Physics
2014,12,5108,Physics
2015,1,4498,Physics
2015,2,4537,Physics
2015,3,5084,Physics
2015,4,4738,Physics
2015,5,4729,Physics
2015,6,5046,Physics
2015,7,5075,Physics
2015,8,4588,Physics
2015,9,5314,Physics
2015,10,5468,Physics
2015,11,5195,Physics
2015,12,5474,Physics
2016,1,4838,Physics
2016,2,4769,Physics
2016,3,5301,Physics
2016,4,4854,Physics
2016,5,5251,Physics
2016,6,5077,Physics
2016,7,5074,Physics
2016,8,4882,Physics
2016,9,5331,Physics
2016,10,5456,Physics
2016,11,5469,Physics
2016,12,5303,Physics
2017,1,4708,Physics
2017,2,4506,Physics
2017,3,5507,Physics
2017,4,4714,Physics
2017,5,5497,Physics
2017,6,5271,Physics
2017,7,4905,Physics
2017,8,4951,Physics
2017,9,5224,Physics
2017,10,5947,Physics
2017,11,5725,Physics
2017,12,5606,Physics
2018,1,5235,Physics
2018,2,4823,Physics
2018,3,5503,Physics
2018,4,5220,Physics
2018,5,5781,Physics
2018,6,5554,Physics
2018,7,5649,Physics
2018,8,5139,Physics
2018,9,5286,Physics
2018,10,6147,Physics
2018,11,5925,Physics
2018,12,5667,Physics
2019,1,5328,Physics
2019,2,5017,Physics
2019,3,6070,Physics
2019,4,5626,Physics
2019,5,5934,Physics
2019,6,5444,Physics
2019,7,5943,Physics
2019,8,5404,Physics
2019,9,6010,Physics
2019,10,6377,Physics
2019,11,5774,Physics
2019,12,6092,Physics
2020,1,5269,Physics
2020,2,5322,Physics
2020,3,5938,Physics
2020,4,6203,Physics
2020,5,6357,Physics
2020,6,6701,Physics
2020,7,6829,Physics
2020,8,5948,Physics
2020,9,6337,Physics
2020,10,6363,Physics
2020,11,6156,Physics
2020,12,6809,Physics
2021,1,5510,Physics
2021,2,5452,Physics
2021,3,6706,Physics
2021,4,5897,Physics
2021,5,6081,Physics
2021,6,6079,Physics
2021,7,6258,Physics
2021,8,5655,Physics
2021,9,6053,Physics
2021,10,6391,Physics
2021,11,5128,Physics
1989,4,1,Mathematics
1989,10,3,Mathematics
1989,11,2,Mathematics
1990,1,5,Mathematics
1990,2,2,Mathematics
1990,3,2,Mathematics
1990,4,1,Mathematics
1990,5,2,Mathematics
1990,6,2,Mathematics
1990,7,2,Mathematics
1990,8,1,Mathematics
1990,9,4,Mathematics
1990,11,1,Mathematics
1990,12,2,Mathematics
1991,1,10,Mathematics
1991,2,3,Mathematics
1991,3,3,Mathematics
1991,4,4,Mathematics
1991,5,3,Mathematics
1991,6,6,Mathematics
1991,7,4,Mathematics
1991,8,2,Mathematics
1991,9,2,Mathematics
1991,10,9,Mathematics
1991,11,8,Mathematics
1991,12,7,Mathematics
1992,1,30,Mathematics
1992,2,42,Mathematics
1992,3,12,Mathematics
1992,4,43,Mathematics
1992,5,23,Mathematics
1992,6,18,Mathematics
1992,7,28,Mathematics
1992,8,12,Mathematics
1992,9,32,Mathematics
1992,10,47,Mathematics
1992,11,40,Mathematics
1992,12,31,Mathematics
1993,1,47,Mathematics
1993,2,48,Mathematics
1993,3,42,Mathematics
1993,4,43,Mathematics
1993,5,42,Mathematics
1993,6,47,Mathematics
1993,7,60,Mathematics
1993,8,45,Mathematics
1993,9,43,Mathematics
1993,10,66,Mathematics
1993,11,55,Mathematics
1993,12,65,Mathematics
1994,1,61,Mathematics
1994,2,64,Mathematics
1994,3,77,Mathematics
1994,4,77,Mathematics
1994,5,66,Mathematics
1994,6,79,Mathematics
1994,7,79,Mathematics
1994,8,57,Mathematics
1994,9,69,Mathematics
1994,10,93,Mathematics
1994,11,120,Mathematics
1994,12,106,Mathematics
1995,1,104,Mathematics
1995,2,105,Mathematics
1995,3,114,Mathematics
1995,4,84,Mathematics
1995,5,105,Mathematics
1995,6,107,Mathematics
1995,7,96,Mathematics
1995,8,84,Mathematics
1995,9,82,Mathematics
1995,10,98,Mathematics
1995,11,110,Mathematics
1995,12,109,Mathematics
1996,1,100,Mathematics
1996,2,113,Mathematics
1996,3,105,Mathematics
1996,4,133,Mathematics
1996,5,126,Mathematics
1996,6,107,Mathematics
1996,7,118,Mathematics
1996,8,106,Mathematics
1996,9,103,Mathematics
1996,10,127,Mathematics
1996,11,135,Mathematics
1996,12,146,Mathematics
1997,1,156,Mathematics
1997,2,148,Mathematics
1997,3,160,Mathematics
1997,4,125,Mathematics
1997,5,125,Mathematics
1997,6,129,Mathematics
1997,7,156,Mathematics
1997,8,110,Mathematics
1997,9,168,Mathematics
1997,10,175,Mathematics
1997,11,143,Mathematics
1997,12,254,Mathematics
1998,1,195,Mathematics
1998,2,161,Mathematics
1998,3,204,Mathematics
1998,4,207,Mathematics
1998,5,217,Mathematics
1998,6,218,Mathematics
1998,7,258,Mathematics
1998,8,191,Mathematics
1998,9,284,Mathematics
1998,10,275,Mathematics
1998,11,255,Mathematics
1998,12,232,Mathematics
1999,1,209,Mathematics
1999,2,235,Mathematics
1999,3,291,Mathematics
1999,4,267,Mathematics
1999,5,282,Mathematics
1999,6,291,Mathematics
1999,7,294,Mathematics
1999,8,236,Mathematics
1999,9,265,Mathematics
1999,10,274,Mathematics
1999,11,377,Mathematics
1999,12,319,Mathematics
2000,1,275,Mathematics
2000,2,349,Mathematics
2000,3,341,Mathematics
2000,4,282,Mathematics
2000,5,384,Mathematics
2000,6,307,Mathematics
2000,7,286,Mathematics
2000,8,338,Mathematics
2000,9,338,Mathematics
2000,10,415,Mathematics
2000,11,387,Mathematics
2000,12,391,Mathematics
2001,1,351,Mathematics
2001,2,305,Mathematics
2001,3,346,Mathematics
2001,4,357,Mathematics
2001,5,392,Mathematics
2001,6,361,Mathematics
2001,7,304,Mathematics
2001,8,306,Mathematics
2001,9,320,Mathematics
2001,10,443,Mathematics
2001,11,435,Mathematics
2001,12,431,Mathematics
2002,1,453,Mathematics
2002,2,415,Mathematics
2002,3,415,Mathematics
2002,4,440,Mathematics
2002,5,437,Mathematics
2002,6,423,Mathematics
2002,7,407,Mathematics
2002,8,344,Mathematics
2002,9,538,Mathematics
2002,10,606,Mathematics
2002,11,600,Mathematics
2002,12,558,Mathematics
2003,1,486,Mathematics
2003,2,469,Mathematics
2003,3,531,Mathematics
2003,4,595,Mathematics
2003,5,570,Mathematics
2003,6,562,Mathematics
2003,7,527,Mathematics
2003,8,399,Mathematics
2003,9,593,Mathematics
2003,10,622,Mathematics
2003,11,654,Mathematics
2003,12,639,Mathematics
2004,1,546,Mathematics
2004,2,605,Mathematics
2004,3,669,Mathematics
2004,4,697,Mathematics
2004,5,737,Mathematics
2004,6,755,Mathematics
2004,7,672,Mathematics
2004,8,554,Mathematics
2004,9,767,Mathematics
2004,10,785,Mathematics
2004,11,807,Mathematics
2004,12,757,Mathematics
2005,1,730,Mathematics
2005,2,716,Mathematics
2005,3,899,Mathematics
2005,4,786,Mathematics
2005,5,839,Mathematics
2005,6,814,Mathematics
2005,7,775,Mathematics
2005,8,811,Mathematics
2005,9,915,Mathematics
2005,10,888,Mathematics
2005,11,958,Mathematics
2005,12,873,Mathematics
2006,1,943,Mathematics
2006,2,857,Mathematics
2006,3,960,Mathematics
2006,4,825,Mathematics
2006,5,974,Mathematics
2006,6,962,Mathematics
2006,7,1004,Mathematics
2006,8,964,Mathematics
2006,9,1068,Mathematics
2006,10,1170,Mathematics
2006,11,1165,Mathematics
2006,12,1095,Mathematics
2007,1,1145,Mathematics
2007,2,1126,Mathematics
2007,3,1166,Mathematics
2007,4,1026,Mathematics
2007,5,1116,Mathematics
2007,6,1129,Mathematics
2007,7,1168,Mathematics
2007,8,1118,Mathematics
2007,9,1245,Mathematics
2007,10,1439,Mathematics
2007,11,1329,Mathematics
2007,12,1232,Mathematics
2008,1,1223,Mathematics
2008,2,1220,Mathematics
2008,3,1282,Mathematics
2008,4,1396,Mathematics
2008,5,1300,Mathematics
2008,6,1297,Mathematics
2008,7,1250,Mathematics
2008,8,1050,Mathematics
2008,9,1341,Mathematics
2008,10,1483,Mathematics
2008,11,1328,Mathematics
2008,12,1347,Mathematics
2009,1,1307,Mathematics
2009,2,1386,Mathematics
2009,3,1630,Mathematics
2009,4,1407,Mathematics
2009,5,1458,Mathematics
2009,6,1486,Mathematics
2009,7,1423,Mathematics
2009,8,1241,Mathematics
2009,9,1547,Mathematics
2009,10,1641,Mathematics
2009,11,1561,Mathematics
